Data Broker Name,Email Address (Accessible to the public),Website URL,Privacy policy URL,Opt out URL,Physical Address,How a consumer may opt out of sale or submit requests under the CCPA,How a protected individual can demand deletion of information posted online under Gov. Code sections 6208.1(b) or 6254.21(c)(1),Additional information about data collecting practices,Date Added to California AG list ( https://oag.ca.gov/data-brokers ),Kanary,Vermont ID,stopdatamining.me,Criteo data partner,Excessive opt-out,Notes
411,,,,,,,,,,13 Apr 2020,,,,,
1010data.com,,https://www.1010data.com/,,,,,,,,,,,,,
"180 by Two, LLC",privacy [at] 180bytwo.com,http://www.180bytwo.com,,,"600 Cleveland St.Suite 213Clearwater, FL 33755United States","1. Via our website @ https://180bytwo.com/privacycaliforniaresidents/
2. Via email to privacy@180bytwo.com
3. Via phone @ (909) 340-3259","1. Via our website under ""Do Not Sell My Personal Information"" Webform Link or from our CCPA Privacy notice.
2. Via email to privacy@180bytwo.com
3. Via phone @ (909) 340-3259","We collect information:

1. Via our website: Our Website collects information that identifies, relates to, describes, references, is reasonably capable of being associated with, or could reasonably be linked, directly or indirectly, with a particular consumer, household, or device (“personal information”).

2. Additionally, we may obtain personal information from the following categories of sources:
 a) Directly from you. For example, if you submit such information to us using forms on our website or by otherwise contacting us.
 b) Indirectly from you. For example, from your usage of mobile and computing devices from which we receive information from cookies and other device identifiers.
 c) From our third-party vendors and data licensors.
 d) From our partners and affiliates.",03/05/2020,,367890,,,,"180 by Two, LLC"
360 Media Direct,privacy [at] 360mediadirect.com,http://www.360mediadirect.com,,,"653 W. Fallbrook Ave.STE 101Fresno, CA 93711United States",privacy@360mediadirect.com,privacy@360mediadirect.com,"We also collect data thru the following websites:
www.Subco.com
www.WRSS.com
www.RewardBee.com
www.BPerx.com
www.covalentmg.com",03/19/2020,,,,,,
411.com,,,https://www.411.com/data-policy,https://www.whitepages.com/privacy/ccpa,,,,,,,,,,,Owned by whitepages.com
"700 Credit, LLC",,www.700credit.com,,,"31440 Northwestern Hwy., SUITE 250, Farmington Hills, MI, 48334, USA",,,,,,367630,,,,
Abacus Cooperative,,,,http://www.abacusoptout.com/,,"Email, mail, or telephone information requested.",,,,,,14 Apr 2020,,,
"AcademixDirect, Inc",admin [at] academixdirect.com,https://www.degree.me/,,,"548 Market St #33674San Francisco, CA 94104United States","Navigate to the Privacy Notice for California Residents on our website, which details categories of information we collect, use of personal information, sharing personal information, and the consumer's rights and choices. Under ""Your Rights And Choices"" a clickable link to submit a verifiable User request form, a toll-free number, email and physical address is provided to the consumer to opt out of sale or submit requests under CCPA","Navigate to the Privacy Notice for California Residents on our website, which details categories of information we collect, use of personal information, sharing personal information, and the consumer's rights and choices. Under ""Exercising Access, Data Portability and Deletion Rights"" a clickable link to submit a verifiable User request form, a toll-free number, email and physical address is provided to the consumer to opt out of sale or submit requests under CCPA","Navigate to the Privacy Notice for California Residents on our website, which details categories of information we collect, use of personal information, sharing personal information, and the consumer's rights and choices.",01/23/2020,,,,,,
Accenture,dataprivacyofficer@accenture.com,,,https://www.accenture.com/us-en/form-do-not-sell-my-personal-information,,,,,,,,,,,
Accucom Corporation,jenna [at] accucomcorp.com,http://accucomcorp.com,,,"28 Atlantic AveSuite 227Boston, MA 02110United States","Consumers may email, call, or fill out the automated form on our websites. We also offer live chat assistance. 

infotracer.com, recordsfinder.com, courtcasefinder.com, idstrong.com","Individuals can email, call, live chat, or fill out our automated opt out form on the websites. 

infotracer.com, recordsfinder.com, courtcasefinder.com, idstrong.com","We are mainly a public records site, however we do purchase some private information for resale. We do collect basic information (email address, IP, etc...) when consumers purchase our products but we do not resell this information, it is for internal use only.

infotracer.com, recordsfinder.com, courtcasefinder.com, idstrong.com",01/30/2020,,,,,,
